vd_mesadesc,vd_localizacao,itm,trn,trn_desc,prefixo,tipo,tipovenda,ano,mes,trn_dtgerencial,usr_lancou,prd,prd_desc,grp_desc,loc_desc,qtd,desconto,valorfinal,custo,itm_obs,comandaorigem,itemorigem
1533,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,552,[DD] Caipiroska Morango,Dose Dupla,Montados,1,,"26,95",,,,
1533,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,547,[DD] Aperol Spritz,Dose Dupla,Montados,1,,"33,95",,Buscar,,
1533,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,73,Carne de Sol,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 1,1,,"89,95",,C2 cara de camisa preta|Mandioca Frita,,
1533,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,547,[DD] Aperol Spritz,Dose Dupla,Montados,1,,"33,95",,Buscar,,
1533,,6,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,547,[DD] Aperol Spritz,Dose Dupla,Montados,1,,"33,95",,C2,,
1533,,7,271,,,venda integral,,2025,2025-12,2025-12-15,Douglas,74,Torresmo de Banda,Pratos Individuais,Cozinha 2,1,,"29,9",,"C2, vestido vinho",1532,
1533,,8,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,551,[DD] Caipiroska Limão,Dose Dupla,Montados,1,,"26,95",,C2- vestido vinho,1532,
1533,,9,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,551,[DD] Caipiroska Limão,Dose Dupla,Montados,1,,"26,95",,Mesa C2,1532,
1533,,10,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,559,[DD] Gin Tropical,Dose Dupla,Montados,1,,"38,95",,Buscar,1505,
1533,,11,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,547,[DD] Aperol Spritz,Dose Dupla,Montados,1,,"33,95",,C2 ponta mesa de branco,1505,
1533,,12,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,547,[DD] Aperol Spritz,Dose Dupla,Montados,1,,"33,95",,C2- camisa branca,1505,
1533,,13,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",C2- camisa branca|Copo com gelo|Limão Rodela,1505,
