CH_Pagamentos,,,,,CH_Períodos,,,,,,,,CH_Analitico,,,,,,,,CH_Tempo,,,,,,,
Mês,Semana,dt_gerencial,liquido,meio,Mês,Ano,dt_gerencial,Semana,pessoas,vr_pagamentos,vr_repique,vr_couvert,Mês,Ano,vd_dtgerencial,Semana,valorfinal,grp_desc,loc_desc,Categoria,Mês,Ano,#REF!,Semana,#REF!,#REF!,#REF!,Categ
12,49,01/12/2025,"R$ 66,93",Credito Auto,12,2025,01/12/2025,49,1,"76,75",,,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Batidos,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 93,81",Credito Auto,12,2025,01/12/2025,49,1,"28,9","0,95",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 126,23",Credito Auto,12,2025,01/12/2025,49,1,"95,09","10,19",,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Preshh,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 94,85",Debito Auto,12,2025,01/12/2025,49,1,"223,5","21,8",20,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Preshh,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 110,55",Debito Auto,12,2025,01/12/2025,49,1,"66,93","5,03",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 185,56",Debito Auto,12,2025,01/12/2025,49,1,"93,81","7,91",20,12,2025,01/12/2025,49,"R$ 39,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 185,55",Debito Auto,12,2025,01/12/2025,49,1,"126,23","11,38",20,12,2025,01/12/2025,49,"R$ 18,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 296,08",Credito Auto,12,2025,01/12/2025,49,1,"94,85",,,12,2025,01/12/2025,49,"R$ 18,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 163,02",Pix Auto,12,2025,01/12/2025,49,1,"110,55","9,7",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 143,03",Debito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 39,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 200,10",Credito Auto,12,2025,01/12/2025,49,2,"371,11","39,76",,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 392,34",Debito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 20,00",Credito Auto,12,2025,01/12/2025,49,1,"296,08","29,58",20,12,2025,01/12/2025,49,"R$ 44,95",Sanduíches,Cozinha 1,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 76,98",Debito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 29,90",Pratos Individuais,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 76,98",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 12,95",Dose Dupla,Baldes,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 104,90",Debito Auto,12,2025,01/12/2025,49,1,"163,02","15,32",20,12,2025,01/12/2025,49,"R$ 64,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 107,02",Pix Auto,12,2025,01/12/2025,49,1,"143,03","13,18",20,12,2025,01/12/2025,49,"R$ 21,95",Dose Dupla,Preshh,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 195,67",Credito Auto,12,2025,01/12/2025,49,1,"200,1","19,3",20,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Batidos,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 188,73",Credito Auto,12,2025,01/12/2025,49,1,"392,34","39,89",20,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 50,18",Credito Auto,12,2025,01/12/2025,49,1,20,,20,12,2025,01/12/2025,49,"R$ 39,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 107,08",Credito Auto,12,2025,01/12/2025,49,2,"153,96","12,21",40,12,2025,01/12/2025,49,"R$ 54,95",Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 80,37",Pix Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Batidos,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 181,11",Credito Auto,12,2025,01/12/2025,49,1,"104,9","9,1",20,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Preshh,DRINK,12,1899,,53,,,,#REF!
